num1,num2,time
16,5,2.2310166358947754
1,6,1.8153910636901855
15,17,7.586528778076172
15,20,2.907294750213623
9,6,1.6920576095581055
3,5,1.8324153423309326
6,19,3.9149580001831055
18,9,5.032322406768799
12,9,2.1051390171051025
8,18,2.916699171066284
4,19,2.134686231613159
15,2,1.3890666961669922
7,0,1.2620635032653809
19,20,2.6320128440856934
11,0,1.2594614028930664
14,4,2.082838773727417
17,16,14.359323978424072
18,0,1.160581111907959
3,1,0.9450795650482178
10,8,1.6998310089111328
0,5,1.1257591247558594
10,18,1.9747765064239502
14,2,1.668121337890625
14,11,2.292968273162842
4,15,1.5919151306152344
3,19,2.584169387817383
18,14,9.595028162002563
12,4,1.551041841506958
15,1,1.9247617721557617
11,10,1.6580274105072021
17,7,5.958596706390381
1,11,1.2387518882751465
3,0,1.1292717456817627
1,14,1.3931870460510254
16,3,2.004142999649048
9,17,5.835950136184692
2,14,2.184964895248413
3,16,2.36963152885437
3,0,1.2215332984924316
14,9,7.529609441757202
5,6,1.8975937366485596
18,3,1.6060991287231445
19,20,1.7184858322143555
9,16,1.9063389301300049
1,8,1.2902178764343262
13,18,5.312938928604126
19,15,8.882896184921265
18,18,2.0616965293884277
12,13,4.893850326538086
13,9,5.006849050521851
6,5,1.3520817756652832
